SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Unclassified
S1,11,0.9961,0.0061,4.9614,0.9665,0.0073,87.5,1.3432,jams,0.001,bmock12,
S1,13,0.592,0.0367,7.1256,0.7613,0.0743,87.5,0.6743,wgsa2,0.001,bmock12,
S1,17,0.6279,0.0672,8.4311,0.429,0.1499,87.5,1.6464,woltka,0.001,bmock12,
SRR17380241,20,0.0749,0.024,7.1372,0.7602,0.0336,89.4737,6.4245,biobakery3,0.01,tourlousse,
SRR17380242,20,0.0712,0.0237,7.1126,0.7631,0.0332,89.4737,6.4792,biobakery3,0.01,tourlousse,
SRR17380243,20,0.0619,0.0236,7.1395,0.7644,0.0334,89.4737,6.959,biobakery3,0.01,tourlousse,
SRR17380244,20,0.0709,0.0243,7.2037,0.7569,0.0336,89.4737,6.3814,biobakery3,0.01,tourlousse,
SRR17380245,20,0.0818,0.0236,7.0535,0.7637,0.0332,89.4737,6.2467,biobakery3,0.01,tourlousse,
SRR17380246,20,0.0727,0.024,7.0955,0.7597,0.0336,89.4737,6.3996,biobakery3,0.01,tourlousse,
SRR17380241,19,0.6837,0.0055,0.824,0.9475,0.0088,100.0,0.0,biobakery4,0.01,tourlousse,
SRR17380242,19,0.687,0.0059,0.8258,0.9438,0.0088,100.0,0.0,biobakery4,0.01,tourlousse,
SRR17380243,19,0.6937,0.0055,0.8024,0.9475,0.0086,100.0,0.0,biobakery4,0.01,tourlousse,
SRR17380244,19,0.6972,0.0054,0.8024,0.9485,0.0086,100.0,0.0,biobakery4,0.01,tourlousse,
SRR17380245,19,0.682,0.0055,0.816,0.948,0.0087,100.0,0.0,biobakery4,0.01,tourlousse,
SRR17380246,19,0.6892,0.0054,0.8015,0.9485,0.0087,100.0,0.0,biobakery4,0.01,tourlousse,
SRR17380241,19,0.0278,0.0202,1.9045,0.8084,0.0234,100.0,0.0,jams,0.01,tourlousse,
SRR17380242,20,0.1452,0.0195,2.1927,0.8054,0.0227,100.0,1.0187,jams,0.01,tourlousse,
SRR17380243,19,0.0296,0.0201,1.8964,0.8091,0.0232,100.0,0.0,jams,0.01,tourlousse,
SRR17380244,19,0.0276,0.0201,1.8859,0.8094,0.0232,100.0,0.0,jams,0.01,tourlousse,
SRR17380245,19,0.0274,0.0201,1.8932,0.8088,0.0233,100.0,0.0,jams,0.01,tourlousse,
SRR17380246,19,0.026,0.0203,1.9051,0.8074,0.0234,100.0,0.0,jams,0.01,tourlousse,
SRR17380241,19,0.028,0.0202,1.9034,0.8084,0.0234,100.0,0.0,jams202212,0.01,tourlousse,
SRR17380242,19,0.0301,0.0201,1.9109,0.8093,0.0233,100.0,0.0,jams202212,0.01,tourlousse,
SRR17380243,19,0.0297,0.0201,1.8995,0.8087,0.0233,100.0,0.0,jams202212,0.01,tourlousse,
